"Gene"	"Freq"
"ANGPTL7"	2
"ANK1"	2
"ANK2"	2
"ANK3"	2
"ANKDD1A"	2
"ANKH"	2
"ANKMY1"	2
"ANKRA2"	2
"ANKRD10"	2
"ANKRD11"	2
"ANKRD13"	2
"ANKRD13B"	2
"ANKRD15"	2
"ANKRD25"	2
"ANKRD26"	2
"ANKRD30A"	2
"ANKRD33"	2
"ANKRD35"	2
"ANKRD37"	2
"ANKRD38"	2
"ANKRD42"	2
"ANKRD43"	2
"ANKRD45"	2
"ANKRD46"	2
"ANKRD47"	2
"ANKRD5"	2
"ANKRD7"	2
"ANKRD9"	2
"ANKS1A"	2
"ANKS3"	2
"ANLN"	2
"ANP32A"	2
"ANP32B"	2
"ANP32D"	2
"ANPEP"	2
"ANTXR1"	2
"ANXA11"	2
"ANXA13"	2
"ANXA2"	2
"ANXA4"	2
"ANXA5"	2
"ANXA6"	2
"ANXA7"	2
"ANXA8"	2
"ANXA9"	2
"AOC2"	2
"AOC3"	2
"AOF2"	2
"AOX1"	2
"AP1B1"	2
"AP1G1"	2
"AP1G2"	2
"AP1GBP1"	2
"AP1M1"	2
"AP1S1"	2
"AP1S2"	2
"AP1S3"	2
"AP2A2"	2
"AP2B1"	2
"AP2M1"	2
"AP2S1"	2
"AP3B1"	2
"AP3B2"	2
"AP3D1"	2
"AP3M2"	2
"AP3S1"	2
"AP4B1"	2
"AP4M1"	2
"AP4S1"	2
"APAF1"	2
"APBA2BP"	2
"APBB1"	2
"APBB3"	2
"APC2"	2
"APCDD1"	2
"APCS"	2
"APEG1"	2
"APEH"	2
"APEX1"	2
"APEX2"	2
"APH1B"	2
"API5"	2
"APIP"	2
"APLP1"	2
"APLP2"	2
"APOA1"	2
"APOA1BP"	2
"APOA2"	2
"APOA4"	2
"APOA5"	2
"APOB"	2
"APOBEC1"	2
"APOBEC2"	2
"APOBEC3G"	2
"APOBEC4"	2
"APOC1"	2
"APOC2"	2
"APOC3"	2
"APOD"	2
"APOE"	2
"APOH"	2
"APOL1"	2
"APOL6"	2
"APOLD1"	2
"APOM"	2
"APP"	2
"APPBP1"	2
"APPBP2"	2
"APPL"	2
"APRT"	2
"APS"	2
"APTX"	2
"APXL2"	2
"AQP1"	2
